complex name,J index
1A0G_1,0.9290322580645162
1A0H_1,0.9905660377358491
1A22_1,0.9396551724137931
1A2A_2,0.9142857142857143
1A2W_5,0.90625
1A6D_2,0.9388888888888889
1A6J_1,0.9318181818181818
1A79_2,0.8829787234042553
1AA7_1,0.9746835443037974
1ADY_1,0.9715302491103203
1AGQ_1,0.9416058394160584
1AIH_1,0.952054794520548
1ARZ_1,0.9067796610169492
1AUI_1,0.9748427672955975
1AVA_1,0.9333333333333333
1AVO_1,0.9453125
1AVX_5,0.8181818181818182
1AVZ_4,0.84
1AX4_2,1.0
1AXI_1,0.9357798165137615
1AY7_9,0.9056603773584906
1AZ4_6,0.8235294117647058
1B27_1,0.9295774647887324
1B2S_1,0.9178082191780822
1B2U_2,0.8918918918918919
1B35_1,0.901840490797546
1B3S_4,0.8243243243243243
1B4K_1,0.9636363636363636
1B4U_1,0.94375
1B6C_1,0.8181818181818182
1B8A_1,0.9208860759493671
1B9L_3,0.8024691358024691
1B9M_1,1.0
1B9Y_1,0.9466666666666667
1BCP_1,0.9036144578313253
1BDF_2,0.832
1BIH_1,0.9103448275862069
1BJA_8,0.868421052631579
1BKD_1,0.9148936170212766
1BO4_1,0.9692307692307692
1BOU_9,0.8555555555555555
1BPL_1,0.9558823529411765
1BPO_8,0.9405940594059405
1BR1_1,0.9803921568627451
1BUH_1,0.9482758620689655
1BVN_1,0.8737864077669902
1C28_1,0.9473684210526315
1C3C_3,0.8148148148148148
1C3X_5,0.922077922077922
1C7N_2,0.8011695906432749
1C8N_5,0.9342105263157895
1C8U_1,0.9190751445086706
1CB7_1,0.8962962962962963
1CJ1_6,0.8271604938271605
1CLI_1,0.9162995594713657
1CMV_1,0.9142857142857143
1CN3_1,0.9329608938547486
1CN4_5,0.8533333333333334
1COZ_1,0.9113924050632911
1CP2_1,0.9473684210526315
1CQ3_1,0.9247311827956989
1CQI_1,0.9597701149425287
1CS0_1,0.9226519337016574
1CX8_2,0.9146919431279621
1D1J_1,0.9230769230769231
1D2Z_1,0.8552631578947368
1D3Y_1,0.9162011173184358
1D4X_1,0.9186046511627907
1D6R_6,0.8823529411764706
1D9E_1,0.9606299212598425
1D9G_1,0.9950738916256158
1DD1_1,0.9375
1DDZ_1,0.9821428571428571
1DE5_1,0.9405405405405406
1DGB_1,0.9485714285714286
1DGR_1,1.0
1DJ8_4,0.8235294117647058
1DJS_1,0.9745762711864406
1DK4_1,0.9381443298969072
1DLE_1,0.9274193548387096
1DLT_1,0.9606986899563319
1DM9_2,0.9333333333333333
1DNW_1,0.9905956112852664
1DOH_1,0.9668508287292817
1DOS_1,0.9461077844311377
1DQN_1,0.9395973154362416
1DS8_1,0.954954954954955
1DSX_3,0.8392857142857143
1DXX_1,0.956989247311828
1E0J_1,1.0
1E0U_6,0.8795180722891566
1E1H_1,0.9795918367346939
1E3U_6,0.8018018018018018
1E44_1,0.9292929292929293
1E6E_1,0.9166666666666666
1E6V_1,0.9585798816568047
1E8F_1,0.9311475409836065
1E9I_1,0.8616352201257862
1EAI_1,0.9647058823529412
1EAW_1,0.987012987012987
1EBO_1,0.907608695652174
1EF1_1,0.9314285714285714
1EF8_3,0.8382352941176471
