complex_name,radius,roughness_ring1,roughness_ring2,roughness_ring3,roughness_ring4,roughness_ring5,roughness_ring6,roughness_ring7,roughness_ring8,roughness_ring9,roughness_ring10
1A2A-10_C_1A2A-10_D,21.59902762727303,1.7807243831248836,2.6534559713699815,2.790095986949659,2.7383156555386203,2.6590508405839235,2.6591387417645844,3.3598937630587615,3.6517812167687684,2.679481972833013,1.2668302865220595
1A2W-10_A_1A2W-10_B,45.99095840645103,1.664392550306429,2.050364337974803,2.9094930929697633,3.300518561775362,3.4803022642735897,2.114481226147385,2.84394559522952,1.4448968327284841,2.3171717897908546,2.147173424716862
1A6J-10_A_1A6J-10_B,17.539239583526225,0.6657452480504895,1.4093601227327153,1.7840637019734096,2.421967527391113,2.534004324056563,2.096999385055679,2.2707865823759716,2.5185915276038497,1.9076348970217594,1.8815017809759913
1A79-6_B_1A79-6_C,22.602545298599352,1.4848396555295038,2.2313659947921987,2.843761060296313,3.3817431071457653,3.5742854213113837,3.6357531848947287,3.1126648845632463,3.2361936094043613,2.9817313800937724,2.544532878491715
1A22-4_A_1A22-4_B,29.711697817641475,1.8076276087821068,1.823979602986446,1.9958749122691044,2.2104370668783377,2.620478809883491,2.5264636601033414,2.6543582768686167,2.128101640168511,3.311519487509294,2.2539703602662446
1A0G-8_A_1A0G-8_B,25.113706524329952,1.1516874683317806,1.8413993117530043,2.776124033788515,2.510277899568656,2.8467391088147607,3.3498867795671656,3.585016479646303,3.8361605620316137,3.958436808590873,2.900501083319064
1AA7-2_A_1AA7-2_B,19.027691665065625,1.179605335794497,1.3918434116008251,1.400481523715554,1.5533219218157794,2.3782909811551094,2.430733543738335,2.4613739078888814,1.6416645352688144,1.1884909638107517,0.9264029480138469
1AIH-10_C_1AIH-10_D,26.71395062454717,0.8678399180720308,1.5099071819923053,3.1111074935677587,3.159022118207113,4.4320638508452435,4.156882720591234,3.6893052038670344,4.107435397484001,2.1800980450979526,1.2973209927001657
1A99-3_C_1A99-3_D,31.79007289143085,1.0994887899615384,1.7635198327038097,2.2914475242274923,2.3730495051940674,2.0685105771977237,1.9406131791101504,2.7468742047998584,1.9549190663207485,1.7373187077645005,1.1082914399100745
1AK4-10_A_1AK4-10_D,21.470113082487906,0.9541314678017426,1.3116238931483526,1.0672544374260713,1.7545282832576292,2.185372541823841,2.1725996570197554,2.1929893706525543,1.8215811793097758,1.433379321769834,0.6959287621855936
1AVZ-8_B_1AVZ-8_C,15.724639457089497,0.797541820744171,1.5735986311713968,2.283658594961922,2.3797903814241814,2.0139156025314113,1.9257633357512436,1.5738810631341047,1.4395740072739003,1.3540724282259564,0.854543684350646
1ARZ-6_A_1ARZ-6_C,26.04368873149142,1.467055187537881,1.9056981517493112,2.0696199650216207,2.4028611519037453,2.299355336862329,2.964057814176659,3.1623670207973573,2.6547712396588268,1.9758669314214568,1.5239355803369234
1A6D-9_A_1A6D-9_B,40.31733863027659,,1.2569205001228965,1.3353015271736735,3.0008970841806057,3.8194231000326053,3.9166783511897303,2.7091953661088466,2.8855990709462453,3.5274860699392088,2.8489178684622845
1AUI-4_A_1AUI-4_B,23.002645751615603,0.915786431312785,1.8193010753891896,2.7492752995603116,2.6363174102888363,2.449881534514144,2.3238262155566165,2.6303289312227185,1.8866271525292788,1.5810306982963243,1.1247601744853633
1AVX-4_A_1AVX-4_B,20.29526055595074,1.049545402115325,1.5304516422631866,1.7261985803637077,2.0770292681740505,2.2649301503959425,2.615655888126815,2.752301408781055,2.9165726468683033,2.8748544851330893,2.3512091401289408
1AXI-5_A_1AXI-5_B,27.611751676540408,1.5144124946603703,2.4697319421725297,2.2216491394412583,2.175420309570076,2.0966357811525222,2.5770101492351234,2.51226988686649,2.4311230463963738,2.272816943483625,1.4693136341721917
1AVA-9_A_1AVA-9_C,25.032149960948793,1.2175819673193222,1.5532360151621714,1.6956486238850061,2.186140392060903,2.6761514460042393,3.5193808129612725,3.460061096486663,3.130655607237876,2.135028506621469,0.8188085583054169
1AY7-7_A_1AY7-7_B,18.042442146431327,1.3665821727209975,1.5894852685585226,1.31085429919222,1.6645178152828455,1.6840939010161686,1.658815039127149,1.7924582802237188,1.48057672976258,1.078357039053327,0.4070412037320986
1B27-2_A_1B27-2_D,20.24615313855433,0.8387461401048052,2.0289875011054774,2.223759312650491,2.514190745928767,2.120856504903475,1.7714080848222713,2.27496568426535,1.4273962522522403,1.2687916532706942,0.6836170965443856
1B2S-4_A_1B2S-4_D,21.871759960065713,0.8945181287749328,1.945105755819242,2.353686825935226,1.9491566555337507,1.5738979624228062,2.121854456987601,2.1499417151098466,1.5174454327032,0.7861416811533846,0.4031022448094302
1B2U-3_A_1B2U-3_D,20.708508201156814,1.1422402911404288,2.018522493146646,2.107436638550359,1.5140877295792121,1.9439403678150573,2.709972717486369,2.58478982996411,2.45111314926419,2.362000177532225,1.2233356745422277
1AZ4-8_A_1AZ4-8_B,21.410477486113656,0.7183794253574465,1.8852963083274796,2.908989412618633,3.4510090217915517,3.125826110481276,2.7465838931546327,2.3377880172351846,2.21774001368481,2.0711653234275924,0.7859475899642592
1B3S-8_A_1B3S-8_D,18.176361584430747,0.7534225020169806,0.8572874732172181,1.120589393987785,1.4481201667553592,1.805856385894635,2.092529528732507,2.3557835471999637,2.592437829524083,2.418830218909467,1.1797803969374208
1AX4-7_B_1AX4-7_D,28.50054678473732,1.910656678240459,2.0702693594863844,1.9259214435196725,3.0592339025928963,3.37150958710467,3.890511065756818,3.465724065352885,3.0408797294475294,2.5657272523524863,1.3884725359350463
1B9L-2_C_1B9L-2_D,24.453962673281506,0.8596099823861894,1.9294862614913355,2.0871824730799218,2.6631844208859543,2.5909798834531492,2.593100342359116,2.626858608916089,2.544409044414723,2.4302456342039944,1.0820347530739263
1B6C-10_A_1B6C-10_B,18.616780967532492,0.9472599939948473,1.484486641073238,1.9857648316053818,2.6229411990645963,3.1111129869431293,3.658170523056023,3.1613022548840437,2.0842990151058474,1.401591870372132,0.6069985715252413
1B35-6_B_1B35-6_C,36.701671661807254,2.661834109853183,3.191407589002403,3.8891932480348386,4.918720009132555,3.8109143518390938,3.303010738271709,3.302135659975507,4.043772156238945,2.2498376496500807,0.7987724135893944
1BCP-10_H_1BCP-10_L,23.82283086751062,1.6075241973735044,1.8770457414715487,2.2796903758062057,3.088572966610734,3.504934732690018,3.395045618736107,3.614332469176603,2.082447877958212,0.9869046046053578,1.0654564197975287
1B47-1_A_1B47-1_B,30.768650995996577,2.120049481811072,2.8114997100716312,2.9210534383529048,2.831728062675704,3.2707081910651823,3.835948999357524,3.220003535655002,2.616605312510884,2.4281214822037214,1.7430026622390995
1B4K-5_A_1B4K-5_B,32.33128170368933,2.009116754035521,2.1103574927903526,2.3562979690485526,2.21950660989742,2.515816706358812,3.3093546438249977,3.7403777064859915,1.6154800585918314,1.4475879289182556,0.8800956313738543
1B9Y-7_A_1B9Y-7_C,23.508620712155363,0.790992471832328,1.5240665124457067,2.128080473709623,2.0345245037504016,2.6031693826895976,2.151596668644421,1.97896884880429,1.97511210347143,1.9310325838012892,1.107787122416577
1BJA-10_A_1BJA-10_B,21.256846986916283,1.6419378960195126,2.5902957900323313,3.3185840705963083,3.333225549358493,3.1248836106723736,2.613362206510329,2.95116517850538,3.4218053810506897,2.6743410727791583,1.528815554201073
1BDF-3_C_1BDF-3_D,23.9717295493638,2.075512575063253,3.185080150764411,3.2545568375823017,3.079354904422963,3.5194763234552093,4.1945529529014625,4.110345241809854,3.2217866768681174,2.6911618013212872,2.110870915595997
1BO4-7_A_1BO4-7_B,20.389469415031158,0.9496194214579035,1.9239320003729596,3.4569242333331056,3.9389343381564497,3.9276253114149435,3.5785134244678525,3.2292632256454215,2.6078965301779276,1.6930511525582537,1.4702357143461406
1BPL-9_A_1BPL-9_B,37.836750497142674,1.6993979367003829,2.837456560173424,3.249610241776315,3.511378767802012,3.675134860863097,2.747379854132026,2.321582828443218,1.751182961002091,2.4531083527286346,1.6989425636269107
1BKD-10_R_1BKD-10_S,26.01156614019184,2.0250324328596006,2.3239567786261612,3.246517453136513,4.4635692225167105,4.157146229665783,3.7340111675894634,3.8751316555384694,3.765159803260112,2.7742631666003437,1.7236439964776433
1BOU-2_B_1BOU-2_D,20.814749704250204,0.8881872138923131,1.087061868678155,1.5659873224727074,2.0543843133787725,3.066612923231821,3.5561356041215184,3.821425290813022,4.177066939062503,4.485049618093364,2.300106515664736
1BO6-2_A_1BO6-2_B,28.357582104484997,2.086144048228783,2.936547808589622,2.345177591605606,2.8658888326713856,2.6829559319652403,2.57951296618657,1.5740800121574174,1.0972128579554574,1.0700364694154318,0.5472172156544172
1BIH-4_A_1BIH-4_B,41.867479209408266,1.4390362777542096,1.6251040892091415,2.256883035589252,2.794112452090254,2.1608254129762563,1.4618097351343096,2.4550060403367473,2.345294328813601,2.7534558868830583,3.6150501462287363
1BUH-6_A_1BUH-6_B,19.08035199088155,0.6375456801825882,1.6910404764133768,1.8971962342064488,1.6358024886357903,2.3903594081486843,2.2592807531731807,2.260331997752476,2.070330351295459,2.1229881641985893,1.0017914659652207
1C28-7_B_1C28-7_C,20.116449844743684,0.776378507690279,1.410520451442259,1.2784240102901712,1.4285921536606314,1.7842335796213513,1.9035498257608552,1.7455404317978993,1.7596285577204929,1.073944216997648,0.4813768104565341
